layer,feature_id,closed,seq,lon,lat
river_line,w49962625_0,0,178,123.0357357,41.5427376
river_line,w49962625_0,0,179,123.0322810,41.5338396
river_line,w49962625_0,0,180,123.0293198,41.5246030
river_line,w49962625_0,0,181,123.0278206,41.5213346
river_line,w49962625_0,0,182,123.0254145,41.5172610
river_line,w49962625_0,0,183,123.0216380,41.5116054
river_line,w49962625_0,0,184,123.0210166,41.5107958
river_line,w49962625_0,0,185,123.0197269,41.5107503
river_line,w49962625_0,0,186,123.0189169,41.5103112
river_line,w49962625_0,0,187,123.0177696,41.5092505
river_line,w49962625_0,0,188,123.0173448,41.5082847
river_line,w49962625_0,0,189,123.0172386,41.5073189
river_line,w49962625_0,0,190,123.0165709,41.5062622
river_line,w49962625_0,0,191,123.0153936,41.5052041
river_line,w49962625_0,0,192,123.0143405,41.5043078
river_line,w49962625_0,0,193,123.0122269,41.5035492
river_line,w49962625_0,0,194,123.0107142,41.5032965
river_line,w49962625_0,0,195,123.0088328,41.5031374
river_line,w49962625_0,0,196,123.0067086,41.5033078
river_line,w49962625_0,0,197,123.0044933,41.5037964
river_line,w49962625_0,0,198,123.0021331,41.5049945
river_line,w49962625_0,0,199,123.0004877,41.5063304
river_line,w49962625_0,0,200,122.9993220,41.5077489
river_line,w49962625_0,0,201,122.9980145,41.5103526
river_line,w49962625_0,0,202,122.9967552,41.5115456
river_line,w49962625_0,0,203,122.9957835,41.5126883
river_line,w49962625_0,0,204,122.9947068,41.5129431
river_line,w49962625_0,0,205,122.9927988,41.5126337
river_line,w49962625_0,0,206,122.9878207,41.5105770
river_line,w49962625_0,0,207,122.9807825,41.5089059
river_line,w49962625_0,0,208,122.9737444,41.5076204
river_line,w49962625_0,0,209,122.9656763,41.5078775
river_line,w49962625_0,0,210,122.9629889,41.5066849
road,w53557570_0,0,0,123.4888269,41.7597399
road,w53557570_0,0,1,123.4881145,41.7595201
road,w53557570_0,0,2,123.4875787,41.7593954
road,w53557570_0,0,3,123.4873963,41.7593530
road,w53557570_0,0,4,123.4868171,41.7592429
road,w53557570_0,0,5,123.4857983,41.7590551
road,w53557570_0,0,6,123.4833676,41.7586767
road,w53557570_0,0,7,123.4823316,41.7585778
road,w53557570_0,0,8,123.4814585,41.7585130
road,w53557570_0,0,9,123.4809528,41.7584755
road,w53557570_0,0,10,123.4789275,41.7583907
road,w53557570_0,0,11,123.4701348,41.7583071
road,w53557570_0,0,12,123.4693004,41.7582991
road,w53557570_0,0,13,123.4679515,41.7582847
road,w53557570_0,0,14,123.4665452,41.7582641
road,w53568776_0,0,0,123.4411186,41.7446815
road,w53568776_0,0,1,123.4422333,41.7437832
road,w53568776_0,0,2,123.4422645,41.7437588
park,w53571936_0,1,0,123.4332183,41.7383904
park,w53571936_0,1,1,123.4345151,41.7388249
park,w53571936_0,1,2,123.4347459,41.7389023
park,w53571936_0,1,3,123.4367377,41.7398496
park,w53571936_0,1,4,123.4373894,41.7402224
park,w53571936_0,1,5,123.4393043,41.7416202
park,w53571936_0,1,6,123.4419556,41.7435749
park,w53571936_0,1,7,123.4421201,41.7435874
park,w53571936_0,1,8,123.4404243,41.7448561
park,w53571936_0,1,9,123.4394878,41.7446640
park,w53571936_0,1,10,123.4386740,41.7442391
park,w53571936_0,1,11,123.4368348,41.7432057
park,w53571936_0,1,12,123.4363426,41.7423243
park,w53571936_0,1,13,123.4332527,41.7406592
park,w53571936_0,1,14,123.4303264,41.7398734
park,w53571936_0,1,15,123.4279209,41.7394409
park,w53571936_0,1,16,123.4266549,41.7392648
park,w53571936_0,1,17,123.4249812,41.7391367
park,w53571936_0,1,18,123.4231359,41.7390887
park,w53571936_0,1,19,123.4206975,41.7393470
park,w53571936_0,1,20,123.4194157,41.7395640
park,w53571936_0,1,21,123.4178922,41.7398366
park,w53571936_0,1,22,123.4152443,41.7403970
park,w53571936_0,1,23,123.4139223,41.7407446
park,w53571936_0,1,24,123.4126061,41.7412321
park,w53571936_0,1,25,123.4114619,41.7418335
park,w53571936_0,1,26,123.4105274,41.7425973
park,w53571936_0,1,27,123.4097423,41.7433409
park,w53571936_0,1,28,123.4080511,41.7454289
park,w53571936_0,1,29,123.4072572,41.7471259
park,w53571936_0,1,30,123.4069353,41.7478943
park,w53571936_0,1,31,123.4062670,41.7489493
park,w53571936_0,1,32,123.4050651,41.7506106
park,w53571936_0,1,33,123.4039718,41.7520922
park,w53571936_0,1,34,123.4030875,41.7529396
park,w53571936_0,1,35,123.4020709,41.7537038
park,w53571936_0,1,36,123.4011440,41.7542006
park,w53571936_0,1,37,123.3997213,41.7548201
park,w53571936_0,1,38,123.3977394,41.7554172
park,w53571936_0,1,39,123.3960445,41.7556613
park,w53571936_0,1,40,123.3948907,41.7557453
park,w53571936_0,1,41,123.3930893,41.7555959
park,w53571936_0,1,42,123.3922154,41.7554022
park,w53571936_0,1,43,123.3919364,41.7552581
park,w53571936_0,1,44,123.3910328,41.7551230
park,w53571936_0,1,45,123.3913367,41.7545502
park,w53571936_0,1,46,123.3914920,41.7543463
park,w53571936_0,1,47,123.3917012,41.7542610
park,w53571936_0,1,48,123.3919409,41.7542257
park,w53571936_0,1,49,123.3922991,41.7542867
